framenumber, query_x, query_y, objx, objy, distance, 
14, 50.125937, 75.533486, 62.362873, 78.657485, 0.064322, 
14, 37.038049, 76.037195, 46.732449, 79.491498, 0.031965, 
14, 50.173753, 75.416075, 62.362873, 78.657485, 0.066723, 
14, 50.173753, 75.416075, 62.362873, 78.657485, 0.077862, 
14, 121.432480, 36.048873, 112.677540, 55.726777, 0.457514, 
14, 56.867564, 35.337526, 112.677540, 55.726777, 0.596331, 
14, 31.487402, 57.700636, 60.689217, 60.714409, 0.147614, 
14, 31.487402, 57.700636, 60.689217, 60.714409, 0.174353, 
14, 47.663015, 57.724515, 60.689217, 60.714409, 0.070352, 
14, 77.670722, 60.958570, 128.098532, 92.745339, 0.137020, 
15, 80.530537, 42.118734, 86.948202, 90.745619, 0.172851, 
15, 56.763871, 17.604716, 65.594725, 19.114594, 0.327198, 
15, 136.376815, 102.831465, 93.589435, 74.280373, 0.150684, 
15, 36.092383, 63.290266, 45.910719, 66.335863, 0.314837, 
15, 94.013160, 11.241054, 135.071904, 26.252252, 0.456087, 
15, 20.200084, 71.788911, 29.815006, 75.107728, 0.195442, 
15, 30.827893, 50.169053, 41.425099, 52.631189, 0.107157, 
15, 42.852052, 95.907990, 53.151585, 99.204600, 0.177837, 
15, 60.191584, 69.516521, 70.639553, 71.711269, 0.146363, 
15, 87.931095, 103.722524, 119.923387, 48.639724, 0.428682, 
15, 27.326604, 73.923269, 99.820152, 77.846725, 0.220746, 
15, 60.870082, 46.576423, 51.407272, 47.516615, 0.176345, 
15, 47.975583, 57.501735, 61.212651, 60.717114, 0.058199, 
15, 97.414844, 21.656786, 129.253656, 16.675953, 0.365690, 
15, 31.444732, 57.697534, 61.212651, 60.717114, 0.169925, 
15, 48.535913, 57.728430, 61.212651, 60.717114, 0.069492, 
16, 56.303456, 97.548712, 67.465095, 100.698075, 0.269496, 
16, 46.281140, 80.038291, 56.884455, 83.767638, 0.125017, 
16, 48.926475, 89.031794, 59.590773, 92.613273, 0.242638, 
16, 70.172884, 87.575464, 80.618699, 90.817220, 0.097490, 
16, 75.263435, 55.861410, 112.439273, 56.015397, 0.332350, 
16, 38.879829, 71.994321, 48.718113, 75.089684, 0.137678, 
16, 83.177044, 18.460928, 143.491475, 38.934894, 0.385168, 
16, 25.876868, 24.630278, 33.672596, 25.560663, 0.205765, 
16, 52.649509, 24.982656, 61.980005, 27.077033, 0.317617, 
16, 91.927791, 75.192321, 127.901940, 93.060896, 0.228857, 
16, 94.071228, 11.399197, 136.781403, 110.447774, 0.459911, 
16, 95.461468, 12.374065, 136.781403, 110.447774, 0.345605, 
16, 19.598038, 71.913478, 30.109701, 75.177359, 0.140687, 
16, 40.120276, 89.590108, 51.392438, 93.045403, 0.124637, 
16, 52.126827, 10.570911, 69.405889, 49.188757, 0.293667, 
16, 60.915792, 84.057251, 71.567197, 88.580202, 0.199960, 
16, 81.282432, 75.309548, 116.108545, 88.949411, 0.133800, 
16, 35.847924, 49.862888, 41.598651, 52.916497, 0.129068, 
16, 43.122206, 95.794364, 53.355570, 99.278012, 0.189785, 
16, 60.126680, 69.260591, 70.760533, 71.858352, 0.065570, 
16, 81.650224, 83.527605, 116.108545, 88.949411, 0.121873, 
16, 103.090610, 87.158925, 116.108545, 88.949411, 0.135918, 
16, 50.700501, 75.569055, 60.927394, 78.703556, 0.035086, 
16, 52.260266, 58.351871, 59.798538, 60.583608, 0.321571, 
16, 52.260266, 58.351871, 59.798538, 60.583608, 0.347322, 
17, 46.252318, 80.055506, 56.793017, 83.759423, 0.106490, 
17, 56.923880, 17.515141, 65.737460, 19.754308, 0.269822, 
17, 61.509622, 42.405840, 70.788005, 45.005884, 0.123123, 
17, 67.839055, 107.100102, 82.158858, 110.999349, 0.197406, 
17, 48.928979, 89.021847, 59.581206, 92.654843, 0.214403, 
17, 58.217378, 52.569698, 69.359193, 54.018326, 0.142953, 
17, 70.004448, 87.408603, 80.731538, 90.845682, 0.105033, 
17, 38.879829, 71.994321, 48.895118, 75.058457, 0.106766, 
17, 79.819878, 34.245961, 131.897554, 42.867755, 0.175090, 
17, 52.654026, 24.983137, 61.641810, 27.156584, 0.316382, 
17, 95.468742, 12.450087, 103.630224, 106.798611, 0.484176, 
17, 102.563056, 66.186770, 131.897554, 42.867755, 0.199983, 
17, 19.598038, 71.913478, 30.467622, 75.291978, 0.170818, 
17, 40.120268, 89.590117, 51.482098, 93.013027, 0.123004, 
17, 52.140052, 10.576601, 69.534545, 49.248786, 0.301330, 
17, 81.303158, 75.330432, 109.137659, 85.115232, 0.093582, 
17, 91.972764, 81.333575, 15.868617, 101.876702, 0.350413, 
17, 39.793824, 68.925818, 50.394183, 72.167734, 0.057519, 
17, 43.089583, 95.796167, 53.356215, 99.295150, 0.195840, 
17, 59.924960, 69.238178, 70.794875, 71.912247, 0.059886, 
17, 28.031598, 73.857367, 60.510029, 78.707767, 0.162306, 
17, 108.314812, 45.039888, 131.897554, 42.867755, 0.289100, 
17, 137.665931, 61.262446, 16.273500, 57.318181, 0.167059, 
17, 37.379530, 76.255543, 60.510029, 78.707767, 0.201195, 
17, 37.379530, 76.255543, 60.510029, 78.707767, 0.179994, 
17, 50.999340, 75.744029, 60.510029, 78.707767, 0.049731, 
17, 91.106833, 65.948515, 119.894887, 70.128341, 0.257791, 
18, 26.016383, 88.433023, 35.271412, 91.227425, 0.215230, 
18, 56.632155, 98.209565, 67.538948, 101.279570, 0.168680, 
18, 48.225748, 51.561793, 57.293030, 53.590742, 0.184439, 
18, 59.296168, 93.168452, 70.577374, 96.111792, 0.111921, 
18, 69.786349, 87.966607, 80.945857, 90.699288, 0.090445, 
18, 38.865266, 72.320594, 49.042729, 75.020828, 0.122942, 
18, 17.706646, 79.813796, 51.975775, 105.065075, 0.277935, 
18, 35.815694, 86.558614, 46.184885, 66.376191, 0.387250, 
18, 40.245212, 90.270347, 51.819554, 93.271744, 0.189462, 
18, 60.431647, 69.504199, 70.805562, 71.539762, 0.121733, 
18, 42.455405, 95.979830, 54.363930, 99.275007, 0.251915, 
18, 144.494657, 56.043005, 86.857593, 55.159962, 0.219737, 
18, 55.720418, 57.215348, 37.108874, 59.088924, 0.200418, 
18, 60.319210, 85.414061, 71.739114, 88.513108, 0.119374, 
19, 59.106192, 106.632695, 70.586407, 109.246505, 0.258659, 
19, 79.410526, 58.575008, 34.967669, 75.554919, 0.412374, 
19, 12.858055, 68.743645, 22.069239, 71.461524, 0.113142, 
19, 26.016383, 88.433026, 35.014340, 91.190754, 0.137648, 
19, 31.262444, 69.619691, 40.740003, 72.871913, 0.220600, 
19, 56.632155, 98.209565, 67.608494, 101.265477, 0.175668, 
19, 48.225748, 51.561793, 57.398441, 53.525303, 0.152708, 
19, 59.296168, 93.168452, 70.580157, 95.962120, 0.133626, 
19, 69.786349, 87.966607, 81.302300, 90.914786, 0.226133, 
19, 38.865266, 72.320594, 49.111333, 75.040567, 0.166054, 
19, 46.276458, 100.628940, 58.584708, 103.556545, 0.262291, 
19, 35.815694, 86.558614, 46.227688, 66.188574, 0.358726, 
19, 38.292410, 46.143763, 70.233349, 48.950160, 0.205536, 
19, 130.913506, 106.669527, 144.997633, 109.404956, 0.259357, 
19, 40.245212, 90.270347, 52.087302, 93.568411, 0.244697, 
19, 113.330422, 66.550402, 81.695960, 62.441647, 0.319762, 
19, 127.533170, 105.335431, 60.996007, 78.481415, 0.274382, 
19, 60.431604, 69.504281, 70.700429, 71.470160, 0.125361, 
19, 98.522156, 96.850324, 133.457192, 98.033267, 0.358351, 
19, 144.494657, 56.043005, 86.864028, 54.628961, 0.206752, 
19, 101.588270, 54.161430, 117.240991, 58.421621, 0.190766, 
19, 55.720418, 57.215348, 61.269529, 60.696282, 0.253846, 
19, 138.105746, 61.865925, 81.695960, 62.441647, 0.183715, 
19, 28.869580, 57.513273, 37.616299, 59.564573, 0.059537, 
20, 61.276467, 70.999548, 71.404022, 72.974070, 0.102095, 
20, 81.202929, 94.091916, 87.520270, 90.728900, 0.234781, 
20, 12.850647, 68.722603, 21.960727, 71.429307, 0.136811, 
20, 31.262086, 69.706592, 40.837488, 72.650616, 0.204008, 
20, 47.857892, 51.301889, 57.418461, 53.406345, 0.150496, 
20, 55.948598, 51.830425, 68.044131, 53.585367, 0.116092, 
20, 59.289010, 93.175314, 70.358719, 95.522008, 0.119494, 
20, 116.093997, 108.311175, 140.015230, 111.677755, 0.246956, 
20, 46.160404, 100.636511, 58.792500, 103.493209, 0.304909, 
20, 46.160404, 100.636511, 58.792500, 103.493209, 0.302776, 
20, 98.416609, 109.117579, 107.581289, 12.579443, 0.237293, 
20, 11.725599, 56.606009, 41.612326, 60.240315, 0.190436, 
20, 17.933831, 79.865327, 51.961698, 104.705187, 0.291528, 
20, 25.514634, 81.069014, 19.473657, 18.318374, 0.368621, 
20, 20.087370, 72.277093, 30.820722, 75.052102, 0.077355, 
20, 40.068521, 90.336468, 51.387871, 92.832441, 0.221156, 
20, 133.572123, 84.919609, 19.473657, 18.318374, 0.355167, 
20, 16.238769, 67.677846, 25.561579, 70.533054, 0.069474, 
20, 42.483483, 95.966201, 53.258888, 98.998718, 0.193240, 
20, 60.184354, 69.367841, 70.577584, 71.469570, 0.108567, 
20, 60.831126, 46.911316, 70.673254, 48.659799, 0.053305, 
20, 51.451098, 75.900344, 62.060726, 78.377005, 0.041728, 
20, 28.702616, 56.774049, 38.677077, 59.342815, 0.083181, 
20, 121.380386, 37.083542, 134.607641, 37.500702, 0.309344, 
20, 121.380386, 37.083542, 119.027585, 15.414109, 0.244298, 
20, 28.702497, 57.477787, 38.677077, 59.342815, 0.048882, 
21, 61.269113, 71.002265, 71.407193, 73.094055, 0.067747, 
21, 81.171196, 94.007758, 92.063627, 55.542021, 0.263100, 
21, 99.459561, 88.585340, 98.461419, 92.545838, 0.042250, 
21, 12.850647, 68.722603, 22.006577, 71.411270, 0.130656, 
21, 47.857892, 51.301889, 57.406536, 53.305571, 0.216126, 
21, 59.289010, 93.175314, 70.241745, 95.101499, 0.088316, 
21, 61.647672, 47.778146, 132.173598, 19.068154, 0.301735, 
21, 20.087370, 72.277093, 30.519459, 74.904816, 0.068111, 
21, 28.532941, 72.541788, 38.160968, 74.705950, 0.049511, 
21, 16.238769, 67.677846, 25.574534, 70.405290, 0.090551, 
21, 42.483484, 95.966202, 53.360453, 98.775039, 0.193850, 
21, 60.182509, 69.365253, 70.421938, 71.465569, 0.188248, 
21, 60.889342, 46.894667, 70.779421, 48.614644, 0.117409, 
21, 81.688648, 83.931973, 111.563306, 92.189457, 0.134270, 
